2026-07-30 19:47:31,533 DEBUG    backend.ai.checkpointing.session_memory_store — SessionMemoryService: created session_id=86d93bc8-68e4-48e1-a420-4b81237ef691 user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf title='Hi Honne tell me about you'
2026-07-30 19:47:56,490 DEBUG    backend.ai.agents.supervisor — supervisor_node invoked: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:47:58,330 DEBUG    backend.ai.agents.supervisor — supervisor: 1 tool call(s) requested
2026-07-30 19:47:58,390 DEBUG    backend.ai.agents.tools — get_style_memory: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:48:06,600 DEBUG    backend.ai.style_memory — Style memory Redis miss, reading from DB: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:48:06,639 DEBUG    backend.ai.style_memory — No style memory found in DB: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:48:06,664 DEBUG    backend.ai.agents.supervisor — supervisor_node invoked: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:48:07,715 INFO     backend.ai.agents.supervisor — supervisor: route=direct steps_taken=2
2026-07-30 19:52:59,398 DEBUG    backend.ai.agents.supervisor — supervisor_node invoked: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:53:00,554 INFO     backend.ai.agents.supervisor — supervisor: route=research steps_taken=1
2026-07-30 19:53:00,557 DEBUG    backend.ai.graph — supervisor_router: Send → researcher_node
2026-07-30 19:53:00,575 DEBUG    backend.ai.agents.researcher — researcher_linkedin invoked: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf query_len=728
2026-07-30 19:53:00,576 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 calling Gemini (2 messages in history)...
2026-07-30 19:53:45,313 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 Gemini responded in 44.75s, tool_calls=1
2026-07-30 19:53:45,313 INFO     backend.ai.agents.researcher — researcher_linkedin: round=0 executing tool=web_search args={'query': 'LangGraph FastAPI agentic AI brand voice LinkedIn content'}
2026-07-30 19:53:45,327 DEBUG    backend.ai.agents.tools — web_search: query_len=57
2026-07-30 19:53:56,950 INFO     backend.ai.agents.researcher — researcher: tool=web_search took 11.62s
2026-07-30 19:53:56,951 INFO     backend.ai.agents.researcher — researcher_linkedin: round=1 calling Gemini (4 messages in history)...
2026-07-30 19:54:25,025 INFO     backend.ai.agents.researcher — researcher_linkedin: round=1 Gemini responded in 28.08s, tool_calls=0
2026-07-30 19:54:25,079 INFO     backend.ai.agents.researcher — researcher_linkedin: TOTAL 84.52s — produced 5 angles for user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:57:37,521 DEBUG    backend.ai.agents.writer_node — writer_node invoked: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:57:45,641 DEBUG    backend.ai.style_memory — Style memory Redis miss, reading from DB: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:57:45,648 DEBUG    backend.ai.style_memory — No style memory found in DB: user_id=d1bdaa11-3591-42c7-b8e9-867f20a76dbf
2026-07-30 19:57:45,981 INFO     backend.ai.agents.writer_node — writer_node: no style_json, using onboarding profile fallback
2026-07-30 19:57:53,303 INFO     backend.ai.agents.writer_node — writer_node: draft generated, char_count=1386
2026-07-31 17:20:51,990 DEBUG    backend.ai.checkpointing.session_memory_store — SessionMemoryService: created session_id=cd81039e-58c4-41d9-b211-f816a3f73eb7 user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5 title='Write a LinkedIn post about why remote work debates miss the…'
2026-07-31 17:20:56,591 DEBUG    backend.ai.agents.supervisor — supervisor_node invoked: user_id=ca0baf57-d4d2-44ab-911d-ee7248f83ca5
